0,paragraph,0
SECTION
0,emotion,0
SECTION
0,image,0
SECTION
0.000,pose,4
SECTION
0,phoneme,m
0.010,phoneme,m
0.150,phoneme,a
0.195,phoneme,y
0.240,phoneme,f
0.360,phoneme,a
0.395,phoneme,y
0.430,phoneme,f
0.470,phoneme,u
0.510,phoneme,a
0.540,phoneme,t
0.640,phoneme,a
0.685,phoneme,y
0.730,phoneme,m
0.790,phoneme,a
0.850,phoneme,f
0.950,phoneme,u
1.030,phoneme,a
1.160,phoneme,y
1.290,phoneme,t
1.380,phoneme,u
1.480,phoneme,a
1.560,phoneme,t
1.670,phoneme,a
3.490,phoneme,t
3.610,phoneme,a
3.650,phoneme,u
3.690,phoneme,t
3.820,phoneme,a
3.920,phoneme,y
4.020,phoneme,t
5.800,phoneme,y
5.950,phoneme,u
6.070,phoneme,t
6.180,phoneme,a
6.220,phoneme,y
6.260,phoneme,m
6.340,phoneme,a
6.395,phoneme,y
6.450,phoneme,t
6.650,phoneme,a
6.760,phoneme,u
6.800,phoneme,t
6.810,phoneme,a
6.870,phoneme,t
6.910,phoneme,a
6.960,phoneme,m
7.040,phoneme,a
7.080,phoneme,u
7.120,phoneme,y
7.250,phoneme,a
7.290,phoneme,f
7.370,phoneme,u
7.430,phoneme,a
7.545,phoneme,y
7.660,phoneme,t
7.760,phoneme,y
7.800,phoneme,u
7.890,phoneme,t
7.960,phoneme,a
8.055,phoneme,u
8.570,phoneme,t
8.680,phoneme,a
8.730,phoneme,t
8.820,phoneme,a
8.870,phoneme,t
8.970,phoneme,y
9.020,phoneme,a
9.070,phoneme,t
9.080,phoneme,a
9.100,phoneme,y
10.640,phoneme,t
10.720,phoneme,a
10.770,phoneme,t
10.920,phoneme,a
11.040,phoneme,t
11.270,phoneme,a
11.370,phoneme,f
11.410,phoneme,a
11.480,phoneme,t
11.570,phoneme,f
11.610,phoneme,u
11.680,phoneme,y
11.740,phoneme,u
11.810,phoneme,t
12.040,phoneme,a
12.120,phoneme,u
12.200,phoneme,t
12.350,phoneme,a
12.470,phoneme,t
12.530,phoneme,a
12.555,phoneme,y
12.580,phoneme,a
12.595,phoneme,y
12.610,phoneme,m
12.680,phoneme,t
12.730,phoneme,a
12.800,phoneme,t
12.830,phoneme,a
12.860,phoneme,t
12.870,phoneme,a
12.890,phoneme,m
12.900,phoneme,a
12.905,phoneme,u
12.910,phoneme,t
12.930,phoneme,u
12.940,phoneme,t
12.950,phoneme,a
12.960,phoneme,t
12.970,phoneme,a
12.980,phoneme,u
12.990,phoneme,a
13.000,phoneme,t
13.010,phoneme,a
13.015,phoneme,u
13.020,phoneme,t
13.030,phoneme,a
