0,paragraph,0
SECTION
0,emotion,0
SECTION
0,image,0
SECTION
0.000,pose,1
SECTION
0,phoneme,m
0.200,phoneme,m
0.840,phoneme,t
0.920,phoneme,a
0.970,phoneme,u
1.020,phoneme,t
1.140,phoneme,a
1.210,phoneme,y
1.280,phoneme,t
1.390,phoneme,u
1.410,phoneme,a
1.460,phoneme,t
1.530,phoneme,m
1.580,phoneme,a
1.630,phoneme,t
1.730,phoneme,a
1.810,phoneme,t
1.880,phoneme,y
2.040,phoneme,u
2.090,phoneme,t
2.160,phoneme,y
2.230,phoneme,u
2.300,phoneme,t
2.360,phoneme,a
2.435,phoneme,u
2.520,phoneme,y
2.570,phoneme,u
2.640,phoneme,y
2.650,phoneme,m
2.720,phoneme,a
2.755,phoneme,y
2.800,phoneme,a
2.810,phoneme,m
2.830,phoneme,a
2.850,phoneme,u
2.870,phoneme,t
2.950,phoneme,a
3.040,phoneme,u
3.110,phoneme,a
3.140,phoneme,y
3.170,phoneme,t
3.210,phoneme,a
3.270,phoneme,m
3.390,phoneme,a
3.470,phoneme,t
3.640,phoneme,a
3.700,phoneme,y
3.760,phoneme,m
3.830,phoneme,t
3.960,phoneme,a
4.050,phoneme,u
4.130,phoneme,a
4.160,phoneme,y
4.190,phoneme,t
4.280,phoneme,u
4.370,phoneme,a
4.450,phoneme,t
4.620,phoneme,a
4.730,phoneme,y
4.910,phoneme,t
5.120,phoneme,a
5.250,phoneme,t
5.390,phoneme,a
5.450,phoneme,t
5.490,phoneme,y
5.550,phoneme,u
5.630,phoneme,y
5.700,phoneme,u
5.760,phoneme,t
5.810,phoneme,a
5.850,phoneme,t
5.900,phoneme,m
6.470,phoneme,t
6.480,phoneme,a
6.490,phoneme,t
6.550,phoneme,f
6.640,phoneme,u
6.680,phoneme,a
6.770,phoneme,t
6.870,phoneme,a
6.980,phoneme,t
7.030,phoneme,a
7.110,phoneme,t
7.180,phoneme,y
7.250,phoneme,u
7.330,phoneme,y
7.470,phoneme,a
7.590,phoneme,t
7.750,phoneme,a
7.900,phoneme,t
8.010,phoneme,a
8.030,phoneme,t
8.160,phoneme,a
8.195,phoneme,y
8.230,phoneme,t
8.300,phoneme,a
8.360,phoneme,m
8.490,phoneme,a
8.560,phoneme,y
8.630,phoneme,t
8.890,phoneme,a
8.980,phoneme,t
9.110,phoneme,a
9.160,phoneme,y
9.210,phoneme,t
9.270,phoneme,a
9.360,phoneme,t
9.480,phoneme,a
9.550,phoneme,m
9.660,phoneme,t
9.750,phoneme,a
9.820,phoneme,m
9.870,phoneme,a
9.960,phoneme,t
10.010,phoneme,a
10.040,phoneme,y
10.080,phoneme,t
10.250,phoneme,a
10.300,phoneme,u
10.350,phoneme,a
10.410,phoneme,t
10.490,phoneme,a
10.550,phoneme,u
10.620,phoneme,m
10.710,phoneme,u
10.790,phoneme,a
