0,paragraph,0
SECTION
0,emotion,0
SECTION
0,image,0
SECTION
0.000,pose,3
SECTION
0,phoneme,m
0.000,phoneme,y
0.120,phoneme,u
0.190,phoneme,f
0.250,phoneme,m
0.280,phoneme,a
0.310,phoneme,t
0.370,phoneme,a
0.440,phoneme,t
0.540,phoneme,a
0.570,phoneme,t
0.650,phoneme,u
0.700,phoneme,a
0.745,phoneme,y
0.870,phoneme,a
0.905,phoneme,y
0.940,phoneme,u
1.040,phoneme,a
1.170,phoneme,u
1.240,phoneme,t
1.320,phoneme,y
1.400,phoneme,a
1.435,phoneme,y
1.470,phoneme,t
1.540,phoneme,y
1.590,phoneme,a
1.595,phoneme,y
